2009-11-30 00:00:00;24.0;2.0;49.0;2.0;50.0;1.0;0.0;16.0;26.0;36.0;15.0;115
2009-12-07 00:00:00;11.0;1.0;28.0;5.0;48.0;1.0;0.0;7.0;30.0;30.0;13.0;66
2009-12-14 00:00:00;8.0;2.0;35.0;1.0;19.0;1.0;0.0;13.0;27.0;20.0;9.0;38
2009-12-21 00:00:00;8.0;2.0;30.0;0.0;25.0;0.0;0.0;13.0;23.0;17.0;12.0;12
2009-12-28 00:00:00;18.0;5.0;30.0;0.0;26.0;1.0;1.0;9.0;29.0;10.0;5.0;16
2010-01-04 00:00:00;18.0;6.0;12.0;6.0;35.0;0.0;0.0;11.0;29.0;20.0;7.0;32
2010-01-11 00:00:00;8.0;2.0;25.0;8.0;27.0;3.0;2.0;10.0;35.0;26.0;15.0;23
2010-01-18 00:00:00;8.0;4.0;21.0;0.0;32.0;1.0;2.0;17.0;32.0;25.0;9.0;14
2010-01-25 00:00:00;8.0;2.0;10.0;1.0;29.0;0.0;0.0;12.0;34.0;32.0;12.0;8
2010-02-01 00:00:00;17.0;2.0;8.0;0.0;27.0;0.0;0.0;5.0;31.0;15.0;17.0;13
2010-02-08 00:00:00;21.0;2.0;8.0;5.0;18.0;4.0;0.0;11.0;28.0;9.0;18.0;33
2010-02-15 00:00:00;7.0;1.0;7.0;2.0;24.0;2.0;0.0;14.0;36.0;18.0;18.0;11
2010-02-22 00:00:00;8.0;4.0;17.0;5.0;39.0;2.0;0.0;10.0;28.0;13.0;16.0;5
2010-03-01 00:00:00;13.0;2.0;5.0;3.0;35.0;3.0;1.0;13.0;21.0;3.0;16.0;15
2010-03-08 00:00:00;19.0;1.0;3.0;1.0;25.0;1.0;0.0;10.0;34.0;6.0;15.0;3
2010-03-15 00:00:00;10.0;6.0;5.0;5.0;23.0;0.0;0.0;13.0;40.0;10.0;22.0;7
2010-03-22 00:00:00;10.0;0.0;6.0;1.0;34.0;0.0;0.0;16.0;26.0;4.0;13.0;12
2010-03-29 00:00:00;17.0;1.0;4.0;1.0;25.0;0.0;0.0;15.0;32.0;4.0;11.0;7
2010-04-05 00:00:00;18.0;1.0;15.0;2.0;24.0;0.0;0.0;17.0;30.0;10.0;10.0;5
2010-04-12 00:00:00;8.0;0.0;4.0;4.0;31.0;1.0;0.0;13.0;34.0;11.0;13.0;1
2010-04-19 00:00:00;10.0;3.0;4.0;5.0;18.0;2.0;0.0;8.0;13.0;6.0;14.0;8
2010-04-26 00:00:00;3.0;1.0;3.0;2.0;27.0;1.0;0.0;15.0;14.0;3.0;7.0;2
2010-05-03 00:00:00;9.0;0.0;6.0;2.0;20.0;0.0;0.0;11.0;19.0;5.0;10.0;6
2010-05-10 00:00:00;5.0;3.0;1.0;2.0;22.0;0.0;0.0;9.0;22.0;3.0;12.0;4
2010-05-17 00:00:00;20.0;1.0;0.0;0.0;12.0;0.0;0.0;9.0;18.0;2.0;6.0;11
2010-05-24 00:00:00;12.0;2.0;3.0;3.0;20.0;0.0;0.0;14.0;37.0;5.0;11.0;5
2010-05-31 00:00:00;7.0;1.0;9.0;1.0;23.0;0.0;0.0;10.0;26.0;25.0;12.0;3
2010-06-07 00:00:00;11.0;0.0;0.0;3.0;17.0;1.0;0.0;12.0;24.0;4.0;3.0;7
